Model,Accuracy (%),Precision (%),Recall (%),F1-Score (%)
Logistic Regression,100.0,100.0,100.0,100.0
Decision Tree,100.0,100.0,100.0,100.0
Random Forest,100.0,100.0,100.0,100.0
